,Country,ISO_A3,Stage,Status,Emerging,Controlling,Winning
0,Afghanistan,AFG,1,Emerging,91.03271961212158,19.68868374824524,2.062007784843445
1,Albania,ALB,1,Emerging,55.04329204559326,46.57149016857147,8.401858806610107
2,Algeria,DZA,1,Emerging,67.52471923828125,39.859676361083984,5.8350324630737305
3,Andorra,AND,3,Winning,2.2904276847839355,31.466349959373474,76.26654505729675
4,Angola,AGO,1,Emerging,89.22950029373169,23.444703221321106,2.314707636833191
5,Antigua and Barbuda,ATG,3,Winning,1.3068526983261108,25.333338975906372,84.71715450286865
6,Argentina,ARG,1,Emerging,91.21963381767273,19.899237155914307,1.9639909267425537
7,Armenia,ARM,1,Emerging,91.43580198287964,19.963663816452026,1.86443030834198
8,Australian Capital Territory (Australia),,3,Winning,0.1299530267715454,8.165079355239868,98.00233840942383
9,New South Wales (Australia),,3,Winning,0.9427040815353394,21.568647027015686,88.58895301818848
10,Northern Territory (Australia),,3,Winning,0.3427743911743164,13.212865591049194,95.26896476745605
11,Queensland (Australia),,3,Winning,0.994342565536499,22.328975796699524,87.98120021820068
12,South Australia (Australia),,3,Winning,0.35893917083740234,13.628357648849487,95.11125087738037
13,Tasmania (Australia),,3,Winning,2.9379069805145264,35.16172766685486,71.0390567779541
14,Victoria (Australia),,3,Winning,4.030171036720276,32.697296142578125,67.94568300247192
15,Western Australia (Australia),,3,Winning,2.3590832948684692,26.431027054786682,78.96733283996582
16,Australia,AUS,3,Winning,1.4812558889389038,24.83363151550293,84.00299549102783
17,Austria,AUT,3,Winning,2.3974061012268066,29.663068056106567,76.75485610961914
18,Azerbaijan,AZE,1,Emerging,86.78597211837769,27.601680159568787,2.6313692331314087
19,Bahamas,BHS,2,Controlling,11.781826615333557,44.50536370277405,39.079540967941284
20,Bahrain,BHR,1,Emerging,84.30362939834595,30.30293583869934,2.890685200691223
21,Bangladesh,BGD,1,Emerging,91.12589359283447,19.912701845169067,1.9785016775131226
22,Barbados,BRB,3,Winning,3.431457281112671,32.958513498306274,69.8785662651062
23,Belarus,BLR,1,Emerging,75.0424861907959,35.651105642318726,4.552268981933594
24,Belgium,BEL,2,Controlling,13.061371445655823,48.10280799865723,34.7748726606369
25,Belize,BLZ,3,Winning,0.42513906955718994,14.048275351524353,94.14604902267456
26,Benin,BEN,3,Winning,0.04361271858215332,9.154054522514343,98.87465238571167
27,Bhutan,BTN,1,Emerging,82.53836035728455,23.535647988319397,4.581674933433533
28,Bolivia,BOL,1,Emerging,90.23157358169556,19.99179720878601,2.4678796529769897
29,Bosnia and Herzegovina,BIH,2,Controlling,24.369433522224426,50.8250892162323,21.15916907787323
30,Botswana,BWA,1,Emerging,61.327701807022095,29.347550868988037,8.764001727104187
31,Brazil,BRA,1,Emerging,91.311514377594,20.60036063194275,1.9160717725753784
32,Brunei,BRN,3,Winning,0.4314213991165161,15.020152926445007,94.19370889663696
33,Bulgaria,BGR,2,Controlling,30.543994903564453,49.20199811458588,17.088019847869873
34,Burkina Faso,BFA,2,Controlling,12.739616632461548,44.69411075115204,37.107062339782715
35,Burma,MMR,2,Controlling,17.00088381767273,37.822094559669495,36.42158508300781
36,Burundi,BDI,1,Emerging,69.48903203010559,28.36032807826996,9.95877981185913
37,Cabo Verde,CPV,1,Emerging,41.389524936676025,36.65929436683655,15.943694114685059
38,Cambodia,KHM,3,Winning,0.131148099899292,7.457026839256287,98.09261560440063
39,Cameroon,CMR,1,Emerging,87.76594996452332,22.068527340888977,2.734506130218506
40,Alberta (Canada),,2,Controlling,10.736703872680664,45.712924003601074,40.33590853214264
41,British Columbia (Canada),,2,Controlling,11.25425398349762,45.25732398033142,39.453521370887756
42,Diamond Princess (Canada),,3,Winning,0.0022172927856445312,0.8917272090911865,99.91164207458496
43,Grand Princess (Canada),,3,Winning,0.0193864107131958,2.9234111309051514,99.56934452056885
44,Manitoba (Canada),,3,Winning,0.6102889776229858,16.672387719154358,92.45282411575317
45,New Brunswick (Canada),,3,Winning,1.310509443283081,19.66507136821747,87.53629922866821
46,Newfoundland and Labrador (Canada),,3,Winning,0.18871724605560303,9.928286075592041,97.226083278656
47,Northwest Territories (Canada),,3,Winning,0.09068548679351807,6.155344843864441,98.51007461547852
48,Nova Scotia (Canada),,3,Winning,6.897053122520447,44.63704526424408,50.18734931945801
49,Ontario (Canada),,1,Emerging,50.117599964141846,45.45313119888306,9.736371040344238
50,Prince Edward Island (Canada),,3,Winning,0.12867450714111328,8.056163787841797,98.01889657974243
51,Quebec (Canada),,2,Controlling,41.198477149009705,46.34873569011688,12.826871871948242
52,Saskatchewan (Canada),,3,Winning,10.023859143257141,40.991806983947754,44.29246485233307
53,Yukon (Canada),,3,Winning,0.47065913677215576,15.052253007888794,93.66040229797363
54,Canada,CAN,2,Controlling,43.33373308181763,47.92324602603912,11.560633778572083
55,Central African Republic,CAF,1,Emerging,87.20757961273193,18.79783570766449,4.150015115737915
56,Chad,TCD,1,Emerging,59.948110580444336,25.527113676071167,10.933402180671692
57,Chile,CHL,1,Emerging,91.00854396820068,19.256916642189026,2.0787090063095093
58,Anhui (China),,3,Winning,0.0,0.00019669532775878906,100.0
59,Beijing (China),,3,Winning,0.0,0.013455748558044434,99.9998152256012
60,Chongqing (China),,3,Winning,0.0,0.00024139881134033203,100.0
61,Fujian (China),,3,Winning,0.0,0.0016182661056518555,99.99998211860657
62,Gansu (China),,3,Winning,0.0,0.011271238327026367,99.99985694885254
63,Guangdong (China),,3,Winning,0.0,0.0013828277587890625,99.99998807907104
64,Guangxi (China),,3,Winning,0.0,0.0003218650817871094,100.0
65,Guizhou (China),,3,Winning,0.0,0.00019371509552001953,100.0
66,Hainan (China),,3,Winning,0.0,0.00021159648895263672,100.0
67,Hebei (China),,3,Winning,0.0,0.0006020069122314453,100.0
68,Heilongjiang (China),,3,Winning,3.8743019104003906e-05,0.13615787029266357,99.99551773071289
69,Henan (China),,3,Winning,0.0,0.0002205371856689453,100.0
70,Hong Kong (China),HKG,3,Winning,1.9997894763946533,27.351364493370056,80.0652265548706
71,Hubei (China),,3,Winning,0.0,0.0018864870071411133,99.99998807907104
72,Hunan (China),,3,Winning,0.0,0.00016391277313232422,100.0
73,Inner Mongolia (China),,3,Winning,0.005170702934265137,1.184612512588501,99.85053539276123
74,Jiangsu (China),,3,Winning,0.0,0.0003427267074584961,100.0
75,Jiangxi (China),,3,Winning,0.0,0.0001817941665649414,100.0
76,Jilin (China),,3,Winning,2.9802322387695312e-06,0.03447532653808594,99.99923706054688
77,Liaoning (China),,3,Winning,0.0,0.0015377998352050781,99.99998807907104
78,Macau (China),MAC,3,Winning,0.01531839370727539,2.7410298585891724,99.64038729667664
79,Ningxia (China),,3,Winning,0.0,0.00048279762268066406,99.99999403953552
80,Qinghai (China),,3,Winning,0.0,0.0001043081283569336,100.0
81,Shaanxi (China),,3,Winning,0.0,0.002518296241760254,99.99997615814209
82,Shandong (China),,3,Winning,0.0,0.008112192153930664,99.99990463256836
83,Shanghai (China),,3,Winning,1.7881393432617188e-05,0.09689033031463623,99.997079372406
84,Shanxi (China),,3,Winning,0.0,0.010818243026733398,99.99985694885254
85,Sichuan (China),,3,Winning,0.0,0.0008374452590942383,99.99998807907104
86,Tianjin (China),,3,Winning,0.0,0.013142824172973633,99.99982118606567
87,Tibet (China),,3,Winning,0.0,0.0001043081283569336,100.0
88,Xinjiang (China),,3,Winning,0.0,0.0003933906555175781,99.99999403953552
89,Yunnan (China),,3,Winning,0.0,0.0004380941390991211,100.0
90,Zhejiang (China),,3,Winning,0.0,0.00033974647521972656,99.99999403953552
91,China,CHN,3,Winning,0.0,0.0020235776901245117,99.99998807907104
92,Colombia,COL,1,Emerging,89.54477310180664,24.708783626556396,2.0990222692489624
93,Comoros,COM,3,Winning,16.267594695091248,5.756011605262756,63.054221868515015
94,Congo (Brazzaville),COG,1,Emerging,79.8315167427063,30.672356486320496,3.7951260805130005
95,Congo (Kinshasa),COD,1,Emerging,91.28737449645996,20.151376724243164,1.9338220357894897
96,Costa Rica,CRI,1,Emerging,47.365230321884155,43.040889501571655,11.701199412345886
97,Cote d'Ivoire,CIV,1,Emerging,73.12125563621521,38.229963183403015,4.8371464014053345
98,Croatia,HRV,3,Winning,4.855436086654663,40.69342613220215,59.329915046691895
99,Cuba,CUB,2,Controlling,20.126578211784363,49.47332441806793,25.630664825439453
100,Cyprus,CYP,3,Winning,8.377301692962646,44.95006799697876,45.99551558494568
101,Czechia,CZE,2,Controlling,13.779482245445251,44.95374858379364,35.446715354919434
102,Faroe Islands (Denmark),FRO,3,Winning,0.1719444990158081,9.364259243011475,97.45829105377197
103,Greenland (Denmark),GRL,3,Winning,0.8558869361877441,11.001315712928772,93.04594993591309
104,Denmark,DNK,2,Controlling,17.4417644739151,50.403934717178345,27.759459614753723
105,Diamond Princess,,3,Winning,5.9604644775390625e-06,0.05288422107696533,99.99880790710449
106,Djibouti,DJI,1,Emerging,87.74793744087219,17.63269007205963,3.4636735916137695
107,Dominica,DMA,3,Winning,0.03484189510345459,4.0981292724609375,99.32721853256226
108,Dominican Republic,DOM,1,Emerging,72.81560897827148,38.23041617870331,4.844987392425537
109,Ecuador,ECU,2,Controlling,18.713700771331787,38.36807310581207,31.439876556396484
110,Egypt,EGY,1,Emerging,91.539466381073,21.13593816757202,1.7895996570587158
111,El Salvador,SLV,1,Emerging,90.11286497116089,23.585283756256104,2.0121991634368896
112,Equatorial Guinea,GNQ,1,Emerging,88.11382055282593,21.878477931022644,2.869805693626404
113,Eritrea,ERI,3,Winning,0.2748042345046997,11.796098947525024,96.10306024551392
114,Estonia,EST,3,Winning,9.23331081867218,43.716081976890564,44.87433135509491
115,Eswatini,SWZ,1,Emerging,71.89515829086304,31.758946180343628,5.855873227119446
116,Ethiopia,ETH,1,Emerging,88.00314664840698,20.326465368270874,3.8078755140304565
117,Fiji,FJI,3,Winning,0.6047248840332031,17.568233609199524,92.15527772903442
118,Finland,FIN,2,Controlling,26.051360368728638,53.1055212020874,19.091618061065674
119,French Guiana (France),GUF,1,Emerging,90.02307653427124,18.89214515686035,2.5960773229599
120,French Polynesia (France),PYF,3,Winning,1.1289030313491821,23.6772358417511,86.48031949996948
121,Guadeloupe (France),GLP,3,Winning,1.411101222038269,21.65689766407013,85.71286797523499
122,Martinique (France),MTQ,3,Winning,3.236818313598633,31.45115077495575,72.01324105262756
123,Mayotte (France),MYT,1,Emerging,52.33040452003479,40.62935411930084,9.796032309532166
124,New Caledonia (France),NCL,3,Winning,0.05154609680175781,4.189378023147583,99.1662859916687
125,Reunion (France),REU,3,Winning,2.1742910146713257,24.352118372917175,80.74219822883606
126,Saint Barthelemy (France),BLM,3,Winning,0.13909637928009033,7.65288770198822,97.88382649421692
127,Saint Pierre and Miquelon (France),SPM,3,Winning,0.0022172927856445312,0.891721248626709,99.91164207458496
128,St Martin (France),MAF,3,Winning,3.1563758850097656,31.424373388290405,72.65754342079163
129,France,FRA,3,Winning,8.195865154266357,42.97664761543274,48.22382926940918
130,Gabon,GAB,1,Emerging,91.22260808944702,19.779282808303833,1.9526511430740356
131,Gambia,GMB,3,Winning,5.967631936073303,38.07397484779358,56.92005157470703
132,Georgia,GEO,2,Controlling,24.804547429084778,52.42384076118469,20.36431133747101
133,Germany,DEU,3,Winning,8.168110251426697,43.81358027458191,47.2619891166687
134,Ghana,GHA,1,Emerging,63.95285129547119,35.835644602775574,7.644662261009216
135,Greece,GRC,2,Controlling,9.835869073867798,47.20286428928375,41.22958779335022
136,Grenada,GRD,3,Winning,1.4717429876327515,21.01660966873169,85.64445972442627
137,Guatemala,GTM,1,Emerging,89.89103436470032,17.76009202003479,2.673172950744629
138,Guinea,GIN,1,Emerging,74.69767332077026,37.51100301742554,4.4749915599823
139,Guinea-Bissau,GNB,3,Winning,13.776710629463196,27.02409029006958,46.3939368724823
140,Guyana,GUY,1,Emerging,61.892759799957275,40.7662034034729,7.410484552383423
141,Haiti,HTI,1,Emerging,84.92083549499512,19.331952929496765,5.847287178039551
142,Holy See,VAT,3,Winning,1.6183078289031982,27.345335483551025,81.777822971344
143,Honduras,HND,1,Emerging,91.49932861328125,20.177021622657776,1.8148720264434814
144,Hungary,HUN,2,Controlling,26.639530062675476,50.62970519065857,19.383379817008972
145,Iceland,ISL,3,Winning,3.0268043279647827,35.254597663879395,70.5764651298523
