,Province/State,FIPS,Stage,Status,Emerging,Controlling,Winning
0,American Samoa,060,1,Emerging,78.70720624923706,41.80159866809845,9.447064995765686
1,Guam,066,3,Winning,4.589474201202393,35.358065366744995,64.2106294631958
2,Northern Mariana Islands,069,3,Winning,15.233233571052551,28.809383511543274,40.878695249557495
3,Puerto Rico,072,1,Emerging,75.82077980041504,33.49608778953552,4.474255442619324
4,Virgin Islands,078,3,Winning,3.5562247037887573,34.49960947036743,68.45774054527283
5,Autauga (Alabama),01001,1,Emerging,87.85909414291382,27.3514986038208,2.3617714643478394
6,Baldwin (Alabama),01003,1,Emerging,66.81915521621704,40.8482700586319,5.941453576087952
7,Barbour (Alabama),01005,1,Emerging,74.82568025588989,35.18620729446411,4.732561111450195
8,Bibb (Alabama),01007,1,Emerging,78.07101607322693,33.27931463718414,4.488912224769592
9,Blount (Alabama),01009,1,Emerging,89.28632736206055,22.032856941223145,2.652972936630249
10,Bullock (Alabama),01011,1,Emerging,45.391371846199036,23.66553246974945,20.037227869033813
11,Butler (Alabama),01013,1,Emerging,64.42912817001343,37.54982948303223,7.325455546379089
12,Calhoun (Alabama),01015,2,Controlling,35.11146903038025,41.09087586402893,17.514654994010925
13,Chambers (Alabama),01017,1,Emerging,52.53407955169678,36.761194467544556,11.504638195037842
14,Cherokee (Alabama),01019,1,Emerging,68.10754537582397,37.25307881832123,6.621310114860535
15,Chilton (Alabama),01021,1,Emerging,67.38130450248718,39.08178508281708,6.361943483352661
16,Choctaw (Alabama),01023,2,Controlling,24.48764443397522,42.987486720085144,24.961474537849426
17,Clarke (Alabama),01025,1,Emerging,63.72950077056885,38.356953859329224,7.623514533042908
18,Clay (Alabama),01027,3,Winning,6.544008851051331,35.8691930770874,56.397944688797
19,Cleburne (Alabama),01029,1,Emerging,63.98037672042847,26.285654306411743,9.869775176048279
20,Coffee (Alabama),01031,1,Emerging,50.8106529712677,44.05260682106018,10.618603229522705
21,Colbert (Alabama),01033,1,Emerging,81.66097402572632,33.38773846626282,3.3243030309677124
22,Conecuh (Alabama),01035,1,Emerging,88.90260457992554,20.275291800498962,3.2072365283966064
23,Coosa (Alabama),01037,2,Controlling,31.06667995452881,44.56835091114044,19.61776912212372
24,Covington (Alabama),01039,1,Emerging,89.42137360572815,24.714094400405884,2.739506959915161
25,Crenshaw (Alabama),01041,1,Emerging,83.81670713424683,30.32294511795044,3.0292898416519165
26,Cullman (Alabama),01043,1,Emerging,91.45041704177856,20.156273245811462,1.8438398838043213
27,Dale (Alabama),01045,1,Emerging,83.87703895568848,29.741811752319336,3.171861171722412
28,Dallas (Alabama),01047,1,Emerging,91.27000570297241,21.71078622341156,1.8829137086868286
29,DeKalb (Alabama),01049,1,Emerging,65.10580778121948,40.0407075881958,6.69877827167511
30,Elmore (Alabama),01051,1,Emerging,85.59210300445557,29.990583658218384,2.701723575592041
31,Escambia (Alabama),01053,1,Emerging,78.67169380187988,31.516695022583008,4.272836446762085
32,Etowah (Alabama),01055,1,Emerging,58.2373321056366,41.467806696891785,8.837854862213135
33,Fayette (Alabama),01057,1,Emerging,86.89285516738892,21.074429154396057,4.496610164642334
34,Franklin (Alabama),01059,1,Emerging,60.29257774353027,39.17418718338013,8.223411440849304
35,Geneva (Alabama),01061,3,Winning,6.671285629272461,40.355634689331055,53.04439663887024
36,Greene (Alabama),01063,1,Emerging,75.15747547149658,37.91304528713226,4.817020893096924
37,Hale (Alabama),01065,1,Emerging,68.51919889450073,39.14531469345093,5.704399943351746
38,Henry (Alabama),01067,1,Emerging,66.56423807144165,35.9166294336319,7.2071850299835205
39,Houston (Alabama),01069,1,Emerging,80.28490543365479,33.16425085067749,3.772634267807007
40,Jackson (Alabama),01071,1,Emerging,85.68770289421082,26.675981283187866,2.882710099220276
41,Jefferson (Alabama),01073,1,Emerging,76.55472159385681,35.4610949754715,4.33259904384613
